run_id,protocol,scenario,step,label,network,t_start_ms,duration_ms,result,outcome,lock_duration_ms,transactions,detail
B1-20260831-132108,HTLC,B1,1,lock-bond,network1,72,2025,OK,,,,
B1-20260831-132108,HTLC,B1,1,hash-published,network1,2098,0,INFO,,,,8yIg7Q4WGiMxi63yh61Dp3uR0WA/tqBcWkoHjVUsJw4=
B1-20260831-132108,HTLC,B1,2,verify-bond-lock,network1,2098,7,OK,,,,
B1-20260831-132108,HTLC,B1,3,lock-tokens,network2,2105,2037,OK,,,,
B1-20260831-132108,HTLC,B1,3,token-lock-id,network2,4143,0,INFO,,,,/IdmSsnWkg2jxcNVExCKqpQWi5TF+HM6Cje1wszOeCI=
B1-20260831-132108,HTLC,B1,4,verify-token-lock,network2,4143,5,OK,,,,
B1-20260831-132108,HTLC,B1,5,claim-tokens,network2,4149,2038,OK,,,,
B1-20260831-132108,HTLC,B1,6,secret-from-ledger,network2,6193,0,INFO,,,,secret-B1-20260831-132108
B1-20260831-132108,HTLC,B1,6,claim-bond,network1,6193,2044,OK,,,,
B1-20260831-132108,HTLC,B1,total,end-to-end,both,0,8257,OK,COMMITTED_BOTH,6139,4,bond transferido e tokens movidos
